contentid,contenttypeid,title,cat1,cat2,addr1,overview,firstimage
1682895,12,고산사 석조나한상,A02,역사관광지,충청북도 제천시 덕산면 월악로9길 113,"제천 와룡산의 고산사 응진전에 봉안된 나한상이다. 나한이란 아라한의 준말로, 소승불교의 수행자 중 가장 높은 지위에 있는 성자를 말한다. 사찰의 기록에 의하면 고산사는 신라 말 고려 초에 도선국사가 창건한 것으로 나타난다. 그러나 절에서 수습되는 기왓조각, 청자 조각 등은 고려와 조선 때의 유물이 주종을 이루고 있어 확실하게 알 수 없다. 
관음보살을 중심으로, 좌우로 배치된 고산사 나한상은 조선 중기에 만든 것으로 추정된다. 조선시대 나한상은 주로 석고로 만들거나 흙으로 만들었는데, 이 나한상은 돌로 만들어 그 예가 극히 드물다. 제천 고산사 석조나한상군은 충주 신흥사 석조나한상과 더불어 충청북도 북부 지역에 보존되고 있는 자료로서, 충청북도 지역에서 조선시대 나한신앙을 확인할 수 있는 귀중한 자료다.",http://tong.visitkorea.or.kr/cms/resource/22/3350222_image2_1.JPG
2648488,12,과일나라테마공원,A02,휴양관광지,충청북도 영동군 영동읍 매천리,"과일나라 테마공원은 2017년 4월에 개장하여 레인보우 힐링 관광지에 자리 잡고 있으며, 영동에서 생산되는 5가지 종류의 과일(포도, 사과, 배, 복숭아, 자두)를 테마로 조성된 공원이다. 재배된 과일의 수정부터 수확까지 모든 과정을 한 번에 볼 수 있는 체험교육의 장소이다. 또한, 과일 수확 시기에 맞게 수확체험과 과일을 활용한 다양한 요리체험을 운영을 하고 있다.",http://tong.visitkorea.or.kr/cms/resource/76/2648476_image2_1.bmp
2770109,12,광명선원,A02,역사관광지,충청북도 음성군 금왕읍 대금로 1402,"광명선원은 1974년 창건된 광명사에 뿌리를 두고 있으며, 1998년 대한불교조계종 광명선원으로 사찰 명칭을 변경하였다. 사찰에는 대웅전을 비롯해 요사채, 공양간, 강당, 산신각 등이 갖춰져 있다. 아울러 2기의 도량탑과 영탑 공원이 조성되어 있다.",http://tong.visitkorea.or.kr/cms/resource/18/2770118_image2_1.jpg
791697,12,괴산 문당리 서낭단,A02,역사관광지,충청북도 괴산군 청안면 문당리,"성황단은 토지와 마을을 수호하는 신인 서낭신에게 제사하기 위한 제단으로, ‘서낭단’이라고도 한다. 주로 마을 입구나 고갯마루에 작은 돌을 무더기로 쌓아놓고 가까이에 나무가 있다.
괴산 문당리 성황단은 오리목 마을 입구에 있는데, 제단부와 좌우 돌탑 등이 원형을 유지하고 있다. 이 성황단은 비교적 정연한 형태로 쌓은 제단부를 중심으로 좌우에 2기의 원추형 돌단을 쌓아 남성 성기형의 적석단을 이루고 있다. 산에서 사룡이 마을을 향하여 긴 꼬리를 하고 내려오는 형상의 돌무지 성황단으로, 양쪽에 남성 성기 모양인 2개의 돌무지가 있고, 가운데에 남근 모양의 형상으로 만든 적석단의 특이한 성황단이다. 
돌탑을 좌우에 두고 가운데에 폭 3m, 길이 5m 규모의 제사공간과 90㎝×90㎝정도 크기의 제물대를 갖춘 제단을 쌓은 것이다. 제단부에서 산 쪽으로 꼬리를 끌 듯 10여 m 가량 돌무지를 늘여 쌓아 마을 주산으로 연결하고 있다. 
이 성황단은 마을이 형성되었던 조선시대 중기 때 조성된 것으로 추정된다. 매년 정초에 색색의 헝겊을 끼운 금줄을 적석단 옆의 신목에 쳐놓고 생기발복일을 골라 제사를 지내되 3일 전부터 금기가 있었으나 현재는 사라졌다.",http://tong.visitkorea.or.kr/cms/resource/19/731019_image2_1.jpg
1434605,12,괴산 백운사 승탑군,A02,역사관광지,충청북도 괴산군 사리면 사리로소매2길 125-146,"괴산 백운사 승탑군은 모두 5기의 석조승탑을 모아놓은 것이다.  5기의 승탑 중 1955년에 건립한 백운사 2차 중창주인 송운제 스님의 승탑을 제외한 4기의 승탑은 조선시대에 조성된 것이다. 이 승탑들은 조선시대 석종형승탑의 원형을 보여주고 있으며, 그중 4기는 방형 혹은 가옥형의 특이한 형식을 갖추고 있어 주목된다. 옥개석에는 기와골 등이 생략되는 등 후기적 양식을 보이고 있으나 합각마루의 용두장식과 상륜부의 보주 등 완전한 모습을 갖추고 있다.
모두 화강암재로 이루어진 승탑들은 옛 절터에서 1943년경 현재의 위치인 사찰입구로 이전한 것이다. 백운사는 사역에서 출토되는 명문기와로 볼 때 고려시대 대흥사였으며 조선 영조 연간(1725-1776)에 폐사된 후 1930년대 초 하장우 스님이 중창하였으며, 1994년 이후 금당, 관음전, 요사채 등 상당한 규모의 불사가 진행 중이다.",http://tong.visitkorea.or.kr/cms/resource/03/3334503_image2_1.JPG
791770,12,괴산 보안사 삼층석탑,A02,건축/조형물,충청북도 괴산군 청안면 효근1길 23,"괴산 보안사 삼층석탑은 보안사의 북쪽 담장 옆에 자리하고 있는 석탑으로, 1단의 기단 위에 3층의 탑신을 올린 모습이다. 전체높이 325cm의 이 석탑은 1매의 지대석 위에 4면에서 면석을 조합하여 단층 기단부를 형성하고 탑신을 올렸다. 
기단은 네 모서리에 기둥 모양을 본떠 새기고, 탑신의 1층 몸돌 남쪽 면에는 감실(불상을 모셔두는 방)을 본떠 간략히 조각해 두었다. 충북지역에서 발견된 석탑 가운데에는 이처럼 탑신에 감실을 새긴 예가 드물어 특이한 양식이라 할 수 있다.
석탑의 각 부분이 훼손되지 않은 비교적 완전한 모습으로, 탑신부가 균형을 보이고 있어 안정감을 준다. 지붕돌 밑면의 받침이 3단으로 줄어들고 뭉툭하게 표현된 점이나, 기단이 완전하지 않고 간략하게 표현된 점 등으로 보아 고려 후기에 조성된 것으로 추정된다.",http://tong.visitkorea.or.kr/cms/resource/57/731257_image2_1.jpg
1437035,12,괴산 보안사 석조약사여래좌상,A02,역사관광지,충청북도 괴산군 청안면 효근1길 23,"괴산 보안사 석조약사여래좌상은 본래 노천의 석단(石壇)에 모시어 불공을 드리고 있었던 것을 현재 법당을 지어 그 안에 주존불로 봉안하고 있다.

이 불상은 금박(金箔)을 칠하였으나 원형은 잘 남아있다. 머리에는 낮은 육계(肉?)가 있고 미간의 백호(白毫)와 이목구비가 정연하다. 상호(相好)는 살이 쪘으나 목에 돌린 삼도가 양 귀와 잘 어울리어 준엄한 인상을 주고 있다. 결가부좌(結跏趺坐)를 했으며, 수인은 오른손을 무릎 위에 놓고, 왼손은 손바닥을 펴서 복부 앞으로 약간 올렸는데 손바닥에 어떤 물체가 놓였었는지는 알 수 없으나, 약병을 올린 약사여래좌상(藥師如來坐像)으로 보인다. 법의는 우견편단(右肩偏袒)으로 등뒤로 넘겨졌고, 왼쪽 가슴에서 내려진 옷의 주름은 무릎을 덮었는데 양쪽 발바닥이 그 위로 노출되어 있다.
각부의 수법이 둔중하며 금박이 두터워 더욱 둔한 감을 준다. 결가부좌한 좌고는 117cm이다.

<출처: 괴산문화관광 홈페이지>",http://tong.visitkorea.or.kr/cms/resource/64/3349964_image2_1.JPG
1435965,12,괴산 봉학사지 석조여래좌상,A02,역사관광지,충청북도 괴산군 사리면 모래재로시동2길 231,"봉학사지 석조여래좌상은 불신만 남아 있는 것을 불두를 찾고, 왼쪽 팔목의 보수를 제외하면 보존상태가 좋은 편이다. 신체에 비해서 큰 얼굴은 앞으로 숙여져 있으며 옷은 왼쪽 어깨만을 감싸고 있다. 손은 오른손 바닥을 무릎에 대고 손끝이 아래를 가리키고, 왼손은 손바닥을 위로 향하게 하여 배꼽 앞에 놓은 모습이다. 오른발을 왼쪽 넓적다리 위에 얹어 놓은 앉은 자세는 그 예가 드문 편이다. 평판적이고 굴곡이 없는 네모진 상체, 목에 있는 3개의 주름, 둔감한 옷주름선 등에서 도식화되는 경향을 보이는 조선시대 불상으로 추정된다. 보광산 폐사지에 있던 것을 아래쪽에 새로 지은 보광사 대웅전에 봉안하여 1935년부터 주존불로 모시고 있다.",http://tong.visitkorea.or.kr/cms/resource/03/3334303_image2_1.JPG
1435934,12,괴산 봉학사지 오층석탑,A02,건축/조형물,충청북도 괴산군 사리면 사담리,"봉학사지 5층석탑은 고려시기에 건립된 석탑이다. 이 석탑은 기단이 제대로 갖추어지지 않은 채, 평평한 돌 위로 5층의 탑신이 올려져 있다. 4매의 지대석 위에 세워진 석탑은 초층 탑신만이 2매의 돌로 되어 있고, 각층의 옥개석과 탑신은 모두 하나의 돌로 이루어졌다. 1층 몸돌은 큰 편이고, 2층 몸돌에서 급격히 낮아지다가 5층까지는 비슷한 크기를 유지한다. 각층 지붕돌은 두꺼운 편이며, 밑면에는 5단씩의 받침을 두었다. 상륜부에는 복발과 보륜이 남아있고, 옥개석에는 5단 받침과 2단의 탑신괴임을 조각하였다. 이 탑은 현재 사담리 보광사 뒤편 옛 절터에 있는데, 1966년 이 석탑의 2층 옥개석 사리공에서 발견된 청동합에 들어있던 청동불상에서 ‘鳳鶴山 鳳鶴寺’라 쓰인 시주문이 발견되었다.",http://tong.visitkorea.or.kr/cms/resource/65/3334265_image2_1.JPG
1434629,12,괴산 삼방리 마애여래좌상,A02,역사관광지,충청북도 괴산군 불정면 삼방관전3길 18,"괴산 삼방리 마애여래좌상은 높이 3.7m, 폭 4.1m, 두께 2.4m의 바위의 한쪽 면에 새긴 높이 3.5m의 마애불이다. 낮은 연꽃대좌 위에 결가부좌한 이 좌상은 통견의 법의를 걸치고 있는데 왼손은 무릎 위에 얹고 오른손은 가슴 앞에서 독특한 수인을 보이고 있다. 굴곡이 없는 사각형적인 신체, 몇 가닥의 간략한 옷주름선, 도식적인 꽃잎의 형태에서 기술의 한계가 엿보이지만 안정감 있는 단아한 체구, 소발의 머리에 큼직한 육계, 삼도가 뚜렷한 목, 당당한 어깨와 무릎 등에서 앞 시대의 특징이 엿보이는 수준작으로 평가된다. 얼굴 부분은 대체로 양각이라기보다는 선각에 가까우며, 가슴에 군의대 매듭이 보인다. 이 좌상은 전체적인 조각수법으로 보아 고려초기 이 지방에서 유행한 좌상양식을 따른 것으로 추정된다. 좌상을 새긴 바위의 아래쪽 일부가 깨어진 것 외에는 보존상태가 양호하다.",http://tong.visitkorea.or.kr/cms/resource/31/3334431_image2_1.JPG
1436057,12,괴산 송시열 유적,A02,역사관광지,충청북도 괴산군 청천면 화양동길 188,"청천 우암 송시열유적은 화양동계곡 안에 있는 화양서원터(華陽書院址)와 만동묘터(萬東廟址)를 중심으로 암서재, 읍궁암, 애각사적, 묘소와 신도비 등 송시열과 관련된 사적들로 구성되었다. 화양서원은 우암 송시열이 은거하였던 곳에 세워진 서원으로써 조선시대 학자들의 결집장소였으며, 만동묘는 임진왜란 때 조선에 원군을 보내준 중국 명나라 황제 신종, 의종의 위패를 모신 사당으로써 유지가 잘 남아있다. 암서재는 송시열이 만년에 화양동에 은거하면서 제자들을 가르치던 곳으로 알려져 있으며, 읍궁암은 효종(孝宗)의 승하로 북벌이 좌절되자 효종의 기일마다 이곳에 올라 통곡하였다고 전한다. 이 외에도 화양동에는 충효절의, 비례부동 등 많은 애각사적이 산재해 있어 송시열의 북벌애국사상과 민족자존정신이 깃든 유적의 성격과 조선성리학의 중심지로서 일제에 의하여 철저하게 파괴되고 왜곡된 사적의 모습을 잘 보여주고 있다.",http://tong.visitkorea.or.kr/cms/resource/77/2517177_image2_1.jpg
1677831,12,괴산 수월정,A02,역사관광지,충청북도 괴산군 칠성면 산막이옛길 315-38,"이 건물은 조선 중기의 명신(名臣)인 소재(蘇齋) 노수신이 유배되었을 때 거처하던 곳이다. 노수신(1515-1590)은 중종 38년(1543) 문과에 급제하여 퇴계(退溪) 이황(李滉)과 같이 독서당에 뽑혀 함께 학문을 연구하다가 을사사화(乙巳士禍)로 관직에서 파면되어, 순천·괴산 등지에서 유배생활을 하다가 선조 즉위 후 복직되어 후에 영의정에까지 오른 인물이다. 이 건물은 노수신이 1545년 을사사화(乙巳士禍)로 순천, 진도 등지로 유배되었다가 괴산으로 옮겨져 명종 20년(1565)부터 2년간 유배생활을 했던 괴산 연하동(煙霞洞)에 있던 적소인데 괴산수력발전소 댐을 만들면서 물에 잠기자 1957년 현 위치에 이건 하였다. 정면 3칸 측면 2칸의 홑처마 팔작지붕 건물로 중앙에 우물마루를 깐 대청 1칸이 있고, 좌우에 온돌방 각 1칸이 있으며 전면에 툇마루를 둔 간소한 형태를 취하고 있다. 후에 건물명을 수월정(水月亭)이라고 하여 그대로 전해오고 있다.

<출처: 괴산군 문화관광>",http://tong.visitkorea.or.kr/cms/resource/74/3338974_image2_1.JPG
704505,12,괴산 올갱이국 거리,A02,체험관광지,충청북도 괴산군 괴산읍 괴강로 12,"올갱이국은 괴산의 유명한 음식 중 하나로 괴산읍 중앙에 있는 시외버스터미널 인근에는 올갱이국을 파는 가게 몇 군데가 그 명맥을 유지하고 있다. 주차장식당은 올갱이 해장국으로 알려진 맛집이다. 이외에도 기사식당, 올갱이 서울식당, 허영만의 만화 식객에 나왔던 맛식당이 있다.
올갱이는 표준말로 다슬기라고 한다. 그런데 다슬기보다 올갱이라고 해야 그 맛과 향이 더 가깝게 느껴진다. 올갱이국은 된장이 맛이 좌우하는데 올갱이국을 파는 괴산의 식당에서 집집마다 된장을 담그는 것도 다 이유가 있는 것이다. 보통 3년 이상 된 된장을 쓰고 8년 묵은 된장도 있다. 여기에 들어가는 부재료가 아욱이다. 특히 아욱은 가을에 그 맛이 최고조에 이르기 때문에 올갱이국 또한 가을에 먹어야 가장 맛이 좋다.",http://tong.visitkorea.or.kr/cms/resource/78/3058978_image2_1.JPG
1434911,12,괴산 외사리 당간지주,A02,역사관광지,충청북도 괴산군 칠성면 외사리,"당간지주는 사찰 입구에 설치하는 것으로, 절에 행사나 의식이 있을 때면 이곳에 당이라는 깃발을 달아두는데, 깃발을 거는 길쭉한 장대를 당간이라 하고, 당간을 양쪽에서 지탱해 주는 두 돌기둥을 당간지주라 한다. 이 당간지주는 양 기둥에 별다른 조각이 없다. 기둥 사이에는 당간을 꽂았던 둥근 받침돌이 2단으로 마련되어 있는데, 그 윗면 가운데에 높이 솟아오른 부분을 두어 여기에 깃대를 끼웠던 것으로 보인다. 기둥 안쪽면에는 아래위로 홈을 두어 당간을 고정시키도록 하였다. 조각솜씨가 세련되거나 정교하지 못하나 간결한 모습을 보이고 있어, 고려시대 전기의 작품으로 짐작된다.

<출처 : 국가유산청 홈페이지>",http://tong.visitkorea.or.kr/cms/resource/04/3338904_image2_1.JPG
1436034,12,괴산 장담 충신각,A02,역사관광지,충청북도 괴산군 청안면 청안읍내로 151,"이 정문은 장담의 정려로 영조 5년(1729) 청안면 청룡리에 세운 것을 조천리로 이건한 것이다. 장담은 호는 수풍정, 본관은 인동으로 통례 장인계의 후손이다. 영조 4년 청주에서 이인좌의 난이 일어나자 벼슬이 없는 처사로서 의병을 일으켜 난을 진압하다 순절하니 그의 동생 장환이 나머지 군사로 적을 토벌하여 복수하였다. 후에 이 사실이 주문되어 충신으로 정려 되고 분무원종훈 1등 공에 록선 되었으며, 정조조에 표충을 명하고 좌승지에 증직 되었다. 건물은 정면 1칸, 측면 1칸의 맞배지붕 목조기와집이며, 현판을 달고 보호책을 둘렀다.",http://tong.visitkorea.or.kr/cms/resource/55/3338955_image2_1.JPG
1678532,12,괴산 정인지 묘소,A02,역사관광지,충청북도 괴산군 불정면 외령로1길 24,"괴산 정인지 묘소는 조선 초기의 대학자이며 정치가였던 학역재(學易齋) 정인지(1396∼1478)의 묘소이다. 태종 14년(1414) 과거에 장원으로 급제한 후 여러 관직을 역임하였고, <고려사>, <용비어천가>, <태조실록> 등 각종 편찬 사업에 참여하였다. 또한, 세종 때에는 집현전 학사로 집현전 직제학, 부제학 등을 지내면서 성삼문, 신숙주, 최항과 함께 훈민정음(訓民正音)을 창제하는데 공을 세웠다. 단종 1년(1453) 계유정란 때 세조를 도와 공을 세워 1등 공신이 되고 영의정에까지 올랐다. 단종∼성종 연간에는 학덕을 갖춘 정치가로서 민심을 진정시키는데 크게 기여하였으며, 저서로는 <역재집> 있다.
묘 앞에는 묘비 1기가 서 있는데 대리석으로 만든 갓이 없는 높이 250cm,  90cm의 크기이다. 비문은 강희맹이 지었다고 전한다. 묘비 앞으로는 상석과 장명등이 서있고, 좌우로 문관석과 망주석이 서 있다. 묘소 아래에 서거정이 지은 신도비가 있었는데 유실되어 1958년 서거정이 지은 비문을 윤보선이 쓰고 성락서가 제전을 써서 다시 세웠다.",http://tong.visitkorea.or.kr/cms/resource/04/3334404_image2_1.JPG
